scenario,regime,delta_ucva,delta_udva,delta_bcva
Scenario 1: Credit Spread Widening,Risk-On,-47985.39790162292,24183.198965623393,-22065.997540499313
Scenario 1: Credit Spread Widening,Normalization,-8161.599001234592,19664.732250912606,10093.398932546757
Scenario 1: Credit Spread Widening,Event-Driven Stress,-38442.84983144002,22357.268866716964,-15154.347571364218
Scenario 1: Credit Spread Widening,Macro Tightening,-8843.430961119957,25718.14670721168,13911.984164357506
Scenario 2: Market Stress,Risk-On,-121451.80486263259,76443.32748664459,-42779.80995214106
Scenario 2: Market Stress,Normalization,-57014.387479129386,13513.849715902525,-42759.69771145878
Scenario 2: Market Stress,Event-Driven Stress,-93862.1200726667,65914.43126185246,-27138.076247878314
Scenario 2: Market Stress,Macro Tightening,-43634.57170661239,45251.5827020525,-1884.8129316129634
Scenario 3: Stagflation,Risk-On,-65978.91076004342,33221.8914548841,-30559.082253932964
Scenario 3: Stagflation,Normalization,-36915.0822661973,657.8361925109857,-35687.80521138429
Scenario 3: Stagflation,Event-Driven Stress,-51107.81233491225,22153.956199895263,-27250.985364567823
Scenario 3: Stagflation,Macro Tightening,-13950.888965154994,20669.59933765122,3416.984736632454
