regime,tenor,epe,ene
Risk-On,0.08333333333333333,1341099.4763037346,-1453344.0848457448
Risk-On,0.16666666666666666,1351832.3030181604,-1445184.3979771077
Risk-On,0.25,1360707.1554072425,-1429299.8649343036
Risk-On,0.3333333333333333,1366200.8984845153,-1410938.0778807127
Risk-On,0.4166666666666667,1373589.5470825103,-1387308.8244233427
Risk-On,0.5,1379144.6269066948,-1359735.1319258423
Risk-On,0.5833333333333334,1384834.7652561811,-1326352.611451708
Risk-On,0.6666666666666666,1393084.9077017165,-1290458.6599837632
Risk-On,0.75,1402449.3986414948,-1256060.6659423965
Risk-On,0.8333333333333334,1409150.3532793992,-1221720.9562142908
Risk-On,0.9166666666666666,1411802.6300674346,-1186317.4474088731
Risk-On,1.0,1416245.091156556,-1152436.9327717961
Risk-On,1.0833333333333333,1419771.525085411,-1117037.486037408
Risk-On,1.1666666666666667,1423295.9360474837,-1085128.6633491688
Risk-On,1.25,1423723.6291877937,-1056163.4474648074
Risk-On,1.3333333333333333,1424715.0017100538,-1027357.2557781109
Risk-On,1.4166666666666667,1425659.9497104962,-998091.710738698
Risk-On,1.5,1427279.9186881802,-967950.5668402619
Risk-On,1.5833333333333333,1428046.3921411412,-935971.547930725
Risk-On,1.6666666666666667,1427369.9869344735,-908527.8401387976
Risk-On,1.75,1422873.8893710696,-882449.7021757651
Risk-On,1.8333333333333333,1417034.8404623412,-855796.4634945558
Risk-On,1.9166666666666667,1411943.518894885,-831387.2891750854
Risk-On,2.0,1405911.3794922775,-807684.5044036714
Risk-On,2.0833333333333335,1397202.5868405995,-786182.3156628876
Risk-On,2.1666666666666665,1389112.3576652075,-766748.6340546061
Risk-On,2.25,1381049.2920696505,-748488.6072026757
Risk-On,2.3333333333333335,1368248.1519366617,-730952.6557909101
Risk-On,2.4166666666666665,1350636.476412578,-712637.7291063488
Risk-On,2.5,1334895.6005905382,-691868.8590374278
Risk-On,2.5833333333333335,1320892.1451054753,-669588.6485602508
Risk-On,2.6666666666666665,1305646.8619877775,-647558.2409542847
Risk-On,2.75,1287923.770536506,-624489.8457933423
Risk-On,2.8333333333333335,1269800.0801911307,-601724.6334816575
Risk-On,2.9166666666666665,1250985.4672586396,-579732.9131084781
Risk-On,3.0,1230879.5964373962,-559044.0299614873
Risk-On,3.0833333333333335,1207082.3042281193,-539540.6708338328
Risk-On,3.1666666666666665,1180379.4428985533,-519463.9524711147
Risk-On,3.25,1152960.4036756689,-498938.84299502836
Risk-On,3.3333333333333335,1123289.90952351,-481060.9900280391
Risk-On,3.4166666666666665,1093420.3811915475,-461261.7891725832
Risk-On,3.5,1061168.4926576295,-442239.64692956605
Risk-On,3.5833333333333335,1025133.2454121339,-426140.675718804
Risk-On,3.6666666666666665,986889.1223465637,-409153.32544042205
Risk-On,3.75,945582.0590912708,-390711.661630055
Risk-On,3.8333333333333335,902943.0941437719,-373576.0676207247
Risk-On,3.9166666666666665,855996.5722784902,-356034.5086779522
Risk-On,4.0,811040.4721385143,-337005.5786223775
Risk-On,4.083333333333333,766262.2909375014,-316385.30791785754
Risk-On,4.166666666666667,717758.8505114219,-296307.35545617
Risk-On,4.25,669650.004973794,-278243.2029977381
Risk-On,4.333333333333333,619194.9670926139,-261411.40090120482
Risk-On,4.416666666666667,563782.9339307353,-242258.0335189449
Risk-On,4.5,505921.2428635597,-219891.16041263688
Risk-On,4.583333333333333,445098.7931888808,-195547.17435919988
Risk-On,4.666666666666667,381249.40199608693,-169296.28690909085
Risk-On,4.75,313620.9710695768,-145170.98914027706
Risk-On,4.833333333333333,237513.24882934257,-115652.85653423468
Risk-On,4.916666666666667,159026.37439082642,-81998.13122234523
Risk-On,5.0,81348.57188028176,-44420.301452466934
Normalization,0.08333333333333333,478979.0228575539,-671759.166505356
Normalization,0.16666666666666666,445817.6989954597,-717902.859727897
Normalization,0.25,414568.84303282347,-761951.3584787449
Normalization,0.3333333333333333,386603.35234666994,-801987.7442037388
Normalization,0.4166666666666667,361698.448910862,-837385.6257140471
Normalization,0.5,340102.71150191256,-867582.0236489966
Normalization,0.5833333333333334,321536.6871840509,-893404.2390480826
Normalization,0.6666666666666666,305500.17734868074,-914974.2367496028
Normalization,0.75,292135.07189833757,-932144.3562524694
Normalization,0.8333333333333334,281304.5925259365,-945401.2913064974
Normalization,0.9166666666666666,272174.4745160205,-954410.5239293132
Normalization,1.0,263853.9348358711,-960245.4285003812
Normalization,1.0833333333333333,256508.7804497597,-963850.4263762506
Normalization,1.1666666666666667,249629.85550303338,-965357.4249759483
Normalization,1.25,243395.68274706617,-964198.4316479174
Normalization,1.3333333333333333,237945.7458324683,-960851.8356553179
Normalization,1.4166666666666667,233082.0791415351,-955681.1019181015
Normalization,1.5,227570.40171767538,-948094.7853503034
Normalization,1.5833333333333333,221997.61240788855,-939689.3762822063
Normalization,1.6666666666666667,216747.79875078882,-929854.8871636839
