regime,rating,tenor,hazard_rate,cum_pd,survival,marginal_pd
Risk-On,AAA,1,0.006672179813401188,0.006649970244534731,0.9933500297554653,0.006649970244534731
Risk-On,AAA,2,0.006672179813401188,0.013255718384816206,0.9867442816151838,0.0066057481402814755
Risk-On,AAA,3,0.006672179813401188,0.019817538496522014,0.980182461503478,0.006561820111705807
Risk-On,AAA,4,0.006672179813401188,0.026335722699734943,0.9736642773002651,0.006518184203212929
Risk-On,AAA,5,0.006672179813401188,0.03281056117194814,0.9671894388280519,0.006474838472213196
Risk-On,IG,1,0.014130195080576759,0.014030832429181683,0.9859691675708183,0.014030832429181683
Risk-On,IG,2,0.014130195080576759,0.02786480059970764,0.9721351994002924,0.013833968170525957
Risk-On,IG,3,0.014130195080576759,0.04150466668100228,0.9584953333189977,0.013639866081294638
Risk-On,IG,4,0.014130195080576759,0.05495315408695389,0.9450468459130461,0.013448487405951615
Risk-On,IG,5,0.014130195080576759,0.06821294801968647,0.9317870519803135,0.013259793932732578
Risk-On,BBB,1,0.017674724342663276,0.017519442602247026,0.982480557397753,0.017519442602247026
Risk-On,BBB,2,0.017674724342663276,0.03473195433540066,0.9652680456645993,0.017212511733153635
Risk-On,BBB,3,0.017674724342663276,0.05164291245720487,0.9483570875427951,0.01691095812180421
Risk-On,BBB,4,0.017674724342663276,0.06825760001884507,0.9317423999811549,0.016614687561640196
Risk-On,BBB,5,0.017674724342663276,0.08458120751539477,0.9154187924846052,0.016323607496549708
Risk-On,HY,1,0.05029346904156065,0.049049690928926526,0.9509503090710735,0.049049690928926526
Risk-On,HY,2,0.05029346904156065,0.0956935096776298,0.9043064903223702,0.04664381874870327
Risk-On,HY,3,0.05029346904156065,0.1400494635329642,0.8599505364670358,0.04435595385533442
Risk-On,HY,4,0.05029346904156065,0.18222977156083686,0.8177702284391631,0.04218030802787265
Risk-On,HY,5,0.05029346904156065,0.22234114851665543,0.7776588514833446,0.04011137695581857
Normalization,AAA,1,0.0065533175355450245,0.006531891379867094,0.9934681086201329,0.006531891379867094
Normalization,AAA,2,0.0065533175355450245,0.013021117154735862,0.9869788828452641,0.006489225774868768
Normalization,AAA,3,0.0065533175355450245,0.019467956011703702,0.9805320439882963,0.00644683885696784
Normalization,AAA,4,0.0065533175355450245,0.02587268481751437,0.9741273151824856,0.006404728805810667
Normalization,AAA,5,0.0065533175355450245,0.0322355786304479,0.9677644213695521,0.006362893812933534
Normalization,IG,1,0.016372432859399686,0.016239133052711185,0.9837608669472888,0.016239133052711185
Normalization,IG,2,0.016372432859399686,0.03221455666311879,0.9677854433368812,0.015975423610407602
Normalization,IG,3,0.016372432859399686,0.047930553243943574,0.9520694467560564,0.015715996580824787
Normalization,IG,4,0.016372432859399686,0.06339133566523625,0.9366086643347638,0.015460782421292674
Normalization,IG,5,0.016372432859399686,0.07860104838369064,0.9213989516163094,0.015209712718454393
Normalization,BBB,1,0.020339257503949448,0.020133810046600087,0.9798661899533999,0.020133810046600087
Normalization,BBB,2,0.020339257503949448,0.03986224978620756,0.9601377502137924,0.019728439739607473
Normalization,BBB,3,0.020339257503949448,0.05919348086758203,0.940806519132418,0.019331231081374467
Normalization,BBB,4,0.020339257503949448,0.07813550061439711,0.9218644993856029,0.018942019746815086
Normalization,BBB,5,0.020339257503949448,0.09669614533373094,0.9033038546662691,0.01856064471933383
Normalization,HY,1,0.05502369668246446,0.053537280338785354,0.9464627196612146,0.053537280338785354
Normalization,HY,2,0.05502369668246446,0.10420832029149707,0.8957916797085029,0.050671039952711716
Normalization,HY,3,0.05502369668246446,0.1521665705732027,0.8478334294267973,0.04795825028170564
Normalization,HY,4,0.05502369668246446,0.19755726656501893,0.8024427334349811,0.04539069599181622
Normalization,HY,5,0.05502369668246446,0.24051786814074871,0.7594821318592513,0.042960601575729784
Event-Driven Stress,AAA,1,0.009114035087719298,0.00907262816014287,0.9909273718398571,0.00907262816014287
Event-Driven Stress,AAA,2,0.009114035087719298,0.01806294373855344,0.9819370562614466,0.008990315578410568
Event-Driven Stress,AAA,3,0.009114035087719298,0.02697169352667883,0.9730283064733212,0.008908749788125392
Event-Driven Stress,AAA,4,0.009114035087719298,0.03579961754060479,0.9642003824593952,0.008827924013925958
Event-Driven Stress,AAA,5,0.009114035087719298,0.04454744908252639,0.9554525509174736,0.008747831541921602
Event-Driven Stress,IG,1,0.019029505582137164,0.01884958759836486,0.9811504124016351,0.01884958759836486
Event-Driven Stress,IG,2,0.019029505582137164,0.0373438682441013,0.9626561317558987,0.01849428064573644
Event-Driven Stress,IG,3,0.019029505582137164,0.05548953932673728,0.9445104606732627,0.018145671082635983
Event-Driven Stress,IG,4,0.019029505582137164,0.07329317199276986,0.9267068280072301,0.017803632666032576
Event-Driven Stress,IG,5,0.019029505582137164,0.09076121352529498,0.909238786474705,0.017468041532525125
Event-Driven Stress,BBB,1,0.0234896331738437,0.023215899232679083,0.9767841007673209,0.023215899232679083
Event-Driven Stress,BBB,2,0.0234896331738437,0.045892820488176334,0.9541071795118237,0.02267692125549725
Event-Driven Stress,BBB,3,0.0234896331738437,0.06804327662489851,0.9319567233751015,0.022150456136722174
Event-Driven Stress,BBB,4,0.0234896331738437,0.08967949000399278,0.9103205099960072,0.02163621337909427
Event-Driven Stress,BBB,5,0.0234896331738437,0.11081339923350109,0.8891866007664989,0.021133909229508308
Event-Driven Stress,HY,1,0.061303030303030304,0.05946181498314118,0.9405381850168588,0.05946181498314118
Event-Driven Stress,HY,2,0.061303030303030304,0.11538792252519314,0.8846120774748069,0.05592610754205196
Event-Driven Stress,HY,3,0.061303030303030304,0.1679885622078522,0.8320114377921478,0.052600639682659045
Event-Driven Stress,HY,4,0.061303030303030304,0.21746147238570623,0.7825385276142938,0.049472910177854046
Event-Driven Stress,HY,5,0.061303030303030304,0.26399263353188707,0.7360073664681129,0.04653116114618083
Macro Tightening,AAA,1,0.009704318936877078,0.009657383980490986,0.990342616019509,0.009657383980490986
Macro Tightening,AAA,2,0.009704318936877078,0.01922150289563518,0.9807784971043648,0.009564118915144193
Macro Tightening,AAA,3,0.009704318936877078,0.028693257441980924,0.9713067425580191,0.009471754546345745
Macro Tightening,AAA,4,0.009704318936877078,0.038073539617703545,0.9619264603822965,0.00938028217572262
Macro Tightening,AAA,5,0.009704318936877078,0.04736323280660992,0.9526367671933901,0.009289693188906378
Macro Tightening,IG,1,0.02399501661129568,0.02370942501878981,0.9762905749812102,0.02370942501878981
Macro Tightening,IG,2,0.02399501661129568,0.046856713202858113,0.9531432867971419,0.023147288184068304
Macro Tightening,IG,3,0.02399501661129568,0.06945519249333787,0.9305448075066621,0.022598479290479756
Macro Tightening,IG,4,0.02399501661129568,0.09151787483354124,0.9084821251664588,0.022062682340203366
Macro Tightening,IG,5,0.02399501661129568,0.11305746366108627,0.8869425363389137,0.02153958882754503
Macro Tightening,BBB,1,0.029688815060908084,0.029252431425304204,0.9707475685746958,0.029252431425304204
Macro Tightening,BBB,2,0.029688815060908084,0.05764915810631632,0.9423508418936837,0.02839672668101212
Macro Tightening,BBB,3,0.029688815060908084,0.08521521148738898,0.914784788512611,0.027566053381072653
Macro Tightening,BBB,4,0.029688815060908084,0.11197489078226552,0.8880251092177345,0.02675967929487655
Macro Tightening,BBB,5,0.029688815060908084,0.13795178439360567,0.8620482156063943,0.025976893611340146
Macro Tightening,HY,1,0.07725359911406422,0.07434492146946636,0.9256550785305336,0.07434492146946636
Macro Tightening,HY,2,0.07725359911406422,0.14316267559063167,0.8568373244093683,0.06881775412116531
Macro Tightening,HY,3,0.07725359911406422,0.2068641791859539,0.7931358208140461,0.06370150359532223
Macro Tightening,HY,4,0.07725359911406422,0.2658297994989949,0.7341702005010051,0.05896562031304098
Macro Tightening,HY,5,0.07725359911406422,0.32041162540046453,0.6795883745995355,0.05458182590146965
