regime,rating,lambda,pd_1y,pd_2y,pd_3y,pd_4y,pd_5y
Risk-On,AAA,0.006672179813401188,0.006649970244534731,0.013255718384816206,0.019817538496522014,0.026335722699734943,0.03281056117194814
Risk-On,IG,0.014130195080576759,0.014030832429181683,0.02786480059970764,0.04150466668100228,0.05495315408695389,0.06821294801968647
Risk-On,BBB,0.017674724342663276,0.017519442602247026,0.03473195433540066,0.05164291245720487,0.06825760001884507,0.08458120751539477
Risk-On,HY,0.05029346904156065,0.049049690928926526,0.0956935096776298,0.1400494635329642,0.18222977156083686,0.22234114851665543
Normalization,AAA,0.0065533175355450245,0.006531891379867094,0.013021117154735862,0.019467956011703702,0.02587268481751437,0.0322355786304479
Normalization,IG,0.016372432859399686,0.016239133052711185,0.03221455666311879,0.047930553243943574,0.06339133566523625,0.07860104838369064
Normalization,BBB,0.020339257503949448,0.020133810046600087,0.03986224978620756,0.05919348086758203,0.07813550061439711,0.09669614533373094
Normalization,HY,0.05502369668246446,0.053537280338785354,0.10420832029149707,0.1521665705732027,0.19755726656501893,0.24051786814074871
Event-Driven Stress,AAA,0.009114035087719298,0.00907262816014287,0.01806294373855344,0.02697169352667883,0.03579961754060479,0.04454744908252639
Event-Driven Stress,IG,0.019029505582137164,0.01884958759836486,0.0373438682441013,0.05548953932673728,0.07329317199276986,0.09076121352529498
Event-Driven Stress,BBB,0.0234896331738437,0.023215899232679083,0.045892820488176334,0.06804327662489851,0.08967949000399278,0.11081339923350109
Event-Driven Stress,HY,0.061303030303030304,0.05946181498314118,0.11538792252519314,0.1679885622078522,0.21746147238570623,0.26399263353188707
Macro Tightening,AAA,0.009704318936877078,0.009657383980490986,0.01922150289563518,0.028693257441980924,0.038073539617703545,0.04736323280660992
Macro Tightening,IG,0.02399501661129568,0.02370942501878981,0.046856713202858113,0.06945519249333787,0.09151787483354124,0.11305746366108627
Macro Tightening,BBB,0.029688815060908084,0.029252431425304204,0.05764915810631632,0.08521521148738898,0.11197489078226552,0.13795178439360567
Macro Tightening,HY,0.07725359911406422,0.07434492146946636,0.14316267559063167,0.2068641791859539,0.2658297994989949,0.32041162540046453
