# A Corporate OAS (bamlc0a3ca)
# Source: Convex Trade (https://convextrade.com/metrics/bamlc0a3ca)
# License: CC BY 4.0 — attribution required
# Generated: 2026-05-21T06:50:42.849Z
# Window: last 1825 days
date,value_bps
2023-04-18,1.14
2023-04-19,1.14
2023-04-20,1.16
2023-04-21,1.15
2023-04-24,1.15
2023-04-25,1.17
2023-04-26,1.18
2023-04-27,1.16
2023-04-28,1.17
2023-04-30,1.18
2023-05-01,1.18
2023-05-02,1.21
2023-05-03,1.22
2023-05-04,1.27
2023-05-05,1.25
2023-05-08,1.26
2023-05-09,1.26
2023-05-10,1.26
2023-05-11,1.26
2023-05-12,1.25
2023-05-15,1.26
2023-05-16,1.26
2023-05-17,1.26
2023-05-18,1.24
2023-05-19,1.22
2023-05-22,1.21
2023-05-23,1.2
2023-05-24,1.21
2023-05-25,1.18
2023-05-26,1.18
2023-05-29,1.18
2023-05-30,1.16
2023-05-31,1.19
2023-06-01,1.19
2023-06-02,1.16
2023-06-05,1.16
2023-06-06,1.16
2023-06-07,1.16
2023-06-08,1.17
2023-06-09,1.18
2023-06-12,1.18
2023-06-13,1.17
2023-06-14,1.16
2023-06-15,1.16
2023-06-16,1.14
2023-06-19,1.14
2023-06-20,1.14
2023-06-21,1.13
2023-06-22,1.13
2023-06-23,1.14
2023-06-26,1.14
2023-06-27,1.13
2023-06-28,1.13
2023-06-29,1.1
2023-06-30,1.1
2023-07-03,1.09
2023-07-04,1.09
2023-07-05,1.08
2023-07-06,1.09
2023-07-07,1.09
2023-07-10,1.1
2023-07-11,1.09
2023-07-12,1.08
2023-07-13,1.08
2023-07-14,1.09
2023-07-17,1.1
2023-07-18,1.09
2023-07-19,1.09
2023-07-20,1.08
2023-07-21,1.07
2023-07-24,1.06
2023-07-25,1.04
2023-07-26,1.04
2023-07-27,1.01
2023-07-28,1
2023-07-31,1
2023-08-01,1
2023-08-02,1.02
2023-08-03,1.03
2023-08-04,1.03
2023-08-07,1.03
2023-08-08,1.04
2023-08-09,1.04
2023-08-10,1.03
2023-08-11,1.03
2023-08-14,1.04
2023-08-15,1.05
2023-08-16,1.06
2023-08-17,1.07
2023-08-18,1.07
2023-08-21,1.07
2023-08-22,1.06
2023-08-23,1.06
2023-08-24,1.04
2023-08-25,1.04
2023-08-28,1.03
2023-08-29,1.03
2023-08-30,1.03
2023-08-31,1.03
2023-09-01,1.03
2023-09-04,1.04
2023-09-05,1.04
2023-09-06,1.05
2023-09-07,1.05
2023-09-08,1.04
2023-09-11,1.04
2023-09-12,1.05
