# Financial Conditions (NFCI) (nfci)
# Source: Convex Trade (https://convextrade.com/metrics/nfci)
# License: CC BY 4.0 — attribution required
# Generated: 2026-05-21T06:55:06.415Z
# Window: last 1825 days
date,value_index
2021-05-28,-0.69339
2021-06-04,-0.69431
2021-06-11,-0.69356
2021-06-18,-0.6905
2021-06-25,-0.68648
2021-07-02,-0.68094
2021-07-09,-0.67427
2021-07-16,-0.66755
2021-07-23,-0.66103
2021-07-30,-0.65571
2021-08-06,-0.65107
2021-08-13,-0.64834
2021-08-20,-0.64667
2021-08-27,-0.64735
2021-09-03,-0.64853
2021-09-10,-0.65038
2021-09-17,-0.65253
2021-09-24,-0.65373
2021-10-01,-0.65398
2021-10-08,-0.65218
2021-10-15,-0.64653
2021-10-22,-0.63663
2021-10-29,-0.62217
2021-11-05,-0.60449
2021-11-12,-0.58523
2021-11-19,-0.56726
2021-11-26,-0.55136
2021-12-03,-0.54039
2021-12-10,-0.53827
2021-12-17,-0.54091
2021-12-24,-0.5479
2021-12-31,-0.55641
2022-01-07,-0.56226
2022-01-14,-0.56241
2022-01-21,-0.55586
2022-01-28,-0.54187
2022-02-04,-0.52295
2022-02-11,-0.4976
2022-02-18,-0.46808
2022-02-25,-0.43861
2022-03-04,-0.41156
2022-03-11,-0.39057
2022-03-18,-0.37858
2022-03-25,-0.3728
2022-04-01,-0.37046
2022-04-08,-0.368
2022-04-15,-0.36127
2022-04-22,-0.35103
2022-04-29,-0.33611
2022-05-06,-0.31858
2022-05-13,-0.29976
2022-05-20,-0.28072
2022-05-27,-0.25937
2022-06-03,-0.23627
2022-06-10,-0.21183
2022-06-17,-0.18807
2022-06-24,-0.17235
2022-07-01,-0.16617
2022-07-08,-0.16957
2022-07-15,-0.18295
2022-07-22,-0.20191
2022-07-29,-0.21998
2022-08-05,-0.23315
2022-08-12,-0.24057
2022-08-19,-0.23823
2022-08-26,-0.2258
2022-09-02,-0.20503
2022-09-09,-0.17936
2022-09-16,-0.15174
2022-09-23,-0.1266
2022-09-30,-0.10778
2022-10-07,-0.1005
2022-10-14,-0.10218
2022-10-21,-0.11245
2022-10-28,-0.12745
2022-11-04,-0.14513
2022-11-11,-0.16204
2022-11-18,-0.17483
2022-11-25,-0.18271
2022-12-02,-0.18752
2022-12-09,-0.19073
2022-12-16,-0.19728
2022-12-23,-0.20744
2022-12-30,-0.22479
2023-01-06,-0.24744
2023-01-13,-0.27185
2023-01-20,-0.29272
2023-01-27,-0.30933
2023-02-03,-0.31655
2023-02-10,-0.31265
2023-02-17,-0.29807
2023-02-24,-0.2727
2023-03-03,-0.24177
2023-03-10,-0.20925
2023-03-17,-0.17777
2023-03-24,-0.15904
2023-03-31,-0.15505
2023-04-07,-0.15821
2023-04-14,-0.16935
2023-04-21,-0.18278
2023-04-28,-0.19357
2023-05-05,-0.202
2023-05-12,-0.20871
2023-05-19,-0.21286
2023-05-26,-0.21492
2023-06-02,-0.21673
2023-06-09,-0.21781
2023-06-16,-0.21982
2023-06-23,-0.22383
2023-06-30,-0.22992
2023-07-07,-0.23866
2023-07-14,-0.25153
2023-07-21,-0.26649
2023-07-28,-0.28248
2023-08-04,-0.29992
2023-08-11,-0.31577
2023-08-18,-0.32823
2023-08-25,-0.33697
2023-09-01,-0.34243
2023-09-08,-0.3421
2023-09-15,-0.3373
2023-09-22,-0.32833
2023-09-29,-0.3161
2023-10-06,-0.30491
2023-10-13,-0.29539
2023-10-20,-0.28949
2023-10-27,-0.28855
