# Financial Stress Index (StL) (stlfsi4)
# Source: Convex Trade (https://convextrade.com/metrics/stlfsi4)
# License: CC BY 4.0 — attribution required
# Generated: 2026-05-21T07:07:21.423Z
# Window: last 1825 days
date,value_index
2021-05-28,-0.8087
2021-06-04,-0.8447
2021-06-11,-0.7913
2021-06-18,-0.7702
2021-06-25,-0.8005
2021-07-02,-0.8411
2021-07-09,-0.7093
2021-07-16,-0.7988
2021-07-23,-0.5666
2021-07-30,-0.7623
2021-08-06,-0.6741
2021-08-13,-0.8586
2021-08-20,-0.6174
2021-08-27,-0.7653
2021-09-03,-0.759
2021-09-10,-0.71
2021-09-17,-0.6772
2021-09-24,-0.5427
2021-10-01,-0.6288
2021-10-08,-0.6361
2021-10-15,-0.7295
2021-10-22,-0.9033
2021-10-29,-0.8106
2021-11-05,-0.6817
2021-11-12,-0.7875
2021-11-19,-0.6877
2021-11-26,-0.4876
2021-12-03,-0.1699
2021-12-10,-0.7052
2021-12-17,-0.4988
2021-12-24,-0.5807
2021-12-31,-0.7693
2022-01-07,-0.7003
2022-01-14,-0.6611
2022-01-21,-0.3842
2022-01-28,-0.2025
2022-02-04,-0.5134
2022-02-11,-0.5858
2022-02-18,-0.1659
2022-02-25,-0.0076
2022-03-04,0.292
2022-03-11,0.1488
2022-03-18,-0.3079
2022-03-25,-0.611
2022-04-01,-0.4766
2022-04-08,-0.371
2022-04-15,-0.2813
2022-04-22,-0.3866
2022-04-29,0.179
2022-05-06,0.2086
2022-05-13,0.5575
2022-05-20,0.3031
2022-05-27,0.2778
2022-06-03,-0.1635
2022-06-10,-0.0498
2022-06-17,0.0311
2022-06-24,0.3737
2022-07-01,0.6088
2022-07-08,0.4233
2022-07-15,0.0638
2022-07-22,-0.2748
2022-07-29,-0.1955
2022-08-05,-0.4844
2022-08-12,-0.405
2022-08-19,-0.3699
2022-08-26,-0.2064
2022-09-02,-0.1379
2022-09-09,-0.3113
2022-09-16,-0.4388
2022-09-23,0.1309
2022-09-30,0.5189
2022-10-07,0.1644
2022-10-14,0.2866
2022-10-21,-0.149
2022-10-28,-0.2947
2022-11-04,-0.3886
2022-11-11,-0.3242
2022-11-18,-0.2268
2022-11-25,-0.2296
2022-12-02,-0.1191
2022-12-09,0.1196
2022-12-16,0.0058
2022-12-23,0.0241
2022-12-30,-0.0404
2023-01-06,-0.1669
2023-01-13,-0.4243
2023-01-20,-0.3922
2023-01-27,-0.5124
2023-02-03,-0.5523
2023-02-10,-0.6119
2023-02-17,-0.4708
2023-02-24,-0.233
2023-03-03,-0.4488
2023-03-10,-0.0908
2023-03-17,1.097
2023-03-24,0.266
2023-03-31,-0.2735
2023-04-07,-0.0969
2023-04-14,-0.4856
2023-04-21,-0.6595
2023-04-28,-0.2935
2023-05-05,-0.3328
2023-05-12,-0.5128
2023-05-19,-0.4464
2023-05-26,-0.3239
2023-06-02,-0.4722
2023-06-09,-0.6983
2023-06-16,-0.6129
2023-06-23,-0.5895
2023-06-30,-0.6977
2023-07-07,-0.7508
2023-07-14,-0.6946
2023-07-21,-0.7383
2023-07-28,-0.7604
2023-08-04,-0.7185
2023-08-11,-0.6602
2023-08-18,-0.6222
2023-08-25,-0.6809
2023-09-01,-0.6933
2023-09-08,-0.7159
2023-09-15,-0.7136
2023-09-22,-0.7192
2023-09-29,-0.4993
2023-10-06,-0.4279
2023-10-13,-0.5408
2023-10-20,-0.3286
2023-10-27,-0.3485
2023-11-03,-0.6073
2023-11-10,-0.732
2023-11-17,-0.6238
2023-11-24,-0.7349
2023-12-01,-0.5343
2023-12-08,-0.5015
2023-12-15,-0.6103
2023-12-22,-0.4381
2023-12-29,-0.4191
2024-01-05,-0.5576
2024-01-12,-0.7107
2024-01-19,-0.8084
2024-01-26,-0.8335
2024-02-02,-0.7569
2024-02-09,-0.6002
2024-02-16,-0.6448
2024-02-23,-0.6732
2024-03-01,-0.792
2024-03-08,-0.7927
2024-03-15,-0.9243
2024-03-22,-0.9428
2024-03-29,-0.9346
2024-04-05,-0.845
2024-04-12,-0.7956
2024-04-19,-0.4176
2024-04-26,-0.8413
2024-05-03,-0.8306
2024-05-10,-0.9229
2024-05-17,-0.9105
2024-05-24,-0.9609
2024-05-31,-0.8511
2024-06-07,-0.8438
2024-06-14,-0.8707
2024-06-21,-0.8316
2024-06-28,-0.8365
2024-07-05,-0.8283
2024-07-12,-0.8321
2024-07-19,-0.6644
2024-07-26,-0.6227
2024-08-02,-0.341
2024-08-09,-0.1638
2024-08-16,-0.7383
2024-08-23,-0.6485
2024-08-30,-0.6504
2024-09-06,-0.3917
2024-09-13,-0.317
2024-09-20,-0.4443
2024-09-27,-0.2707
2024-10-04,-0.611
2024-10-11,-0.5887
2024-10-18,-0.5346
2024-10-25,-0.3853
2024-11-01,-0.2956
2024-11-08,-0.5652
2024-11-15,-0.8002
2024-11-22,-0.613
2024-11-29,-0.6194
2024-12-06,-0.5302
2024-12-13,-0.5802
2024-12-20,-0.4973
2024-12-27,-0.6237
2025-01-03,-0.6214
2025-01-10,-0.8008
2025-01-17,-0.8262
2025-01-24,-0.9751
2025-01-31,-0.7626
2025-02-07,-0.7842
2025-02-14,-0.8296
2025-02-21,-0.761
2025-02-28,-0.4554
2025-03-07,-0.3547
2025-03-14,-0.2141
2025-03-21,-0.6436
2025-03-28,-0.6232
2025-04-04,0.0993
2025-04-11,0.5846
2025-04-18,-0.2005
2025-04-25,-0.2668
2025-05-02,-0.3427
2025-05-09,-0.4677
2025-05-16,-0.8968
2025-05-23,-0.5006
2025-05-30,-0.5376
2025-06-06,-0.807
2025-06-13,-0.7843
2025-06-20,-0.6531
2025-06-27,-0.7051
2025-07-04,-0.8798
2025-07-11,-0.7524
2025-07-18,-0.7176
2025-07-25,-0.802
2025-08-01,-0.6832
2025-08-08,-0.5732
2025-08-15,-0.8214
2025-08-22,-0.7556
2025-08-29,-0.6102
2025-09-05,-0.4257
2025-09-12,-0.5694
2025-09-19,-0.5962
2025-09-26,-0.54
2025-10-03,-0.4993
2025-10-10,-0.4885
2025-10-17,-0.3717
2025-10-24,-0.513
2025-10-31,-0.4629
2025-11-07,-0.3137
2025-11-14,-0.5096
2025-11-21,-0.1348
2025-11-28,-0.3969
2025-12-05,-0.4261
2025-12-12,-0.3598
2025-12-19,-0.3401
2025-12-26,-0.5806
2026-01-02,-0.5644
2026-01-09,-0.663
2026-01-16,-0.6505
2026-01-23,-0.712
2026-01-30,-0.678
2026-02-06,-0.6557
2026-02-13,-0.62
2026-02-20,-0.488
2026-02-27,-0.4432
2026-03-06,-0.4292
2026-03-13,-0.2988
2026-03-20,-0.3661
2026-03-27,-0.1804
2026-04-03,-0.2396
2026-04-10,-0.646
2026-04-17,-0.7559
2026-04-24,-0.6773
2026-05-01,-0.6703
2026-05-08,-0.7619
2026-05-15,-0.7404
